,artwork_url,caption,commentable,comment_count,created_at,description,downloadable,download_count,duration,full_duration,embeddable_by,genre,has_downloads_left,id,kind,label_name,last_modified,license,likes_count,permalink,permalink_url,playback_count,public,publisher_metadata,purchase_title,purchase_url,release_date,reposts_count,secret_token,sharing,state,streamable,tag_list,title,track_format,uri,urn,user_id,visuals,waveform_url,display_date,station_urn,station_permalink,track_authorization,monetization_model,policy,userid,media.transcodings,user.avatar_url,user.first_name,user.followers_count,user.full_name,user.id,user.kind,user.last_modified,user.last_name,user.permalink,user.permalink_url,user.uri,user.urn,user.username,user.verified,user.city,user.country_code,user.badges.pro,user.badges.pro_unlimited,user.badges.verified,user.station_urn,user.station_permalink,publisher_metadata.id,publisher_metadata.urn,publisher_metadata.artist,publisher_metadata.contains_music,publisher_metadata.isrc,publisher_metadata.album_title,publisher_metadata.writer_composer,publisher_metadata.publisher,publisher_metadata.release_title,publisher_metadata.iswc
0,,,True,1.0,2012-11-08T22:29:56Z,,True,4.0,13819,13819,all,,True,66672683,track,,2014-06-19T08:00:18Z,all-rights-reserved,3.0,sounds-from-wednesday-1,https://soundcloud.com/jonasmosskin/sounds-from-wednesday-1,175.0,True,,,,,0,,public,finished,True,soundcloud:source=iphone-record,Sounds from Wednesday evening,single-track,https://api.soundcloud.com/tracks/66672683,soundcloud:tracks:66672683,86,,https://wave.sndcdn.com/qd8Z7FPnar4d_m.json,2012-11-08T22:29:56Z,soundcloud:system-playlists:track-stations:66672683,track-stations:66672683,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJnZW8iOiJWTiIsInN1YiI6IiIsInJpZCI6IiIsImlhdCI6MTY0NTc5MDI1N30.D97hfwK1S2mJqhQNjCpmXnKQf2q-qGHdvyS1qWx7QCg,NOT_APPLICABLE,ALLOW,86,"[{'url': 'https://api-v2.soundcloud.com/media/soundcloud:tracks:66672683/54ab9be6-c9f1-4f98-af5b-7294091fed10/stream/hls', 'preset': 'mp3_0_0', 'duration': 13819, 'snipped': False, 'format': {'protocol': 'hls', 'mime_type': 'audio/mpeg'}, 'quality': 'sq'}, {'url': 'https://api-v2.soundcloud.com/media/soundcloud:tracks:66672683/54ab9be6-c9f1-4f98-af5b-7294091fed10/stream/progressive', 'preset': 'mp3_0_0', 'duration': 13819, 'snipped': False, 'format': {'protocol': 'progressive', 'mime_type': 'audio/mpeg'}, 'quality': 'sq'}]",https://i1.sndcdn.com/avatars-000000000799-9d3742-large.jpg,Jonas,197,Jonas Mosskin,86,user,2017-04-08T10:23:01Z,Mosskin,jonasmosskin,https://soundcloud.com/jonasmosskin,https://api.soundcloud.com/users/86,soundcloud:users:86,jonasmosskin,False,Stockholm,SE,False,False,False,soundcloud:system-playlists:artist-stations:86,artist-stations:86,,,,,,,,,,
1,,,True,25.0,2009-01-18T02:36:37Z,"The Days: Joakim, Adam and me",False,0.0,470125,470125,all,,False,115094,track,,2020-11-30T11:23:15Z,all-rights-reserved,26.0,speaking-dances-1,https://soundcloud.com/boytom/speaking-dances-1,3799.0,True,,,,,0,,public,finished,True,,Speaking Dances,single-track,https://api.soundcloud.com/tracks/115094,soundcloud:tracks:115094,87,,https://wave.sndcdn.com/Iq51RbPj5hBJ_m.json,2009-01-18T02:36:37Z,soundcloud:system-playlists:track-stations:115094,track-stations:115094,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJnZW8iOiJWTiIsInN1YiI6IiIsInJpZCI6ImM3ZjFlZDE3LTc5NTEtNDIxOC05NmFjLTQ5NmFkN2JkNGNlNCIsImlhdCI6MTY0NTc5MDI1N30.92AvaVTkT5tCzJNfZmFC573IayLUaY1doKhtdaHMPL8,NOT_APPLICABLE,ALLOW,87,"[{'url': 'https://api-v2.soundcloud.com/media/soundcloud:tracks:115094/fdeaeee0-1cdf-4a5b-b289-ccd6c5af3b3a/stream/hls', 'preset': 'mp3_0_0', 'duration': 470125, 'snipped': False, 'format': {'protocol': 'hls', 'mime_type': 'audio/mpeg'}, 'quality': 'sq'}, {'url': 'https://api-v2.soundcloud.com/media/soundcloud:tracks:115094/fdeaeee0-1cdf-4a5b-b289-ccd6c5af3b3a/stream/progressive', 'preset': 'mp3_0_0', 'duration': 470125, 'snipped': False, 'format': {'protocol': 'progressive', 'mime_type': 'audio/mpeg'}, 'quality': 'sq'}]",https://i1.sndcdn.com/avatars-000000000575-ce3d8c-large.jpg,Tom,5634,Tom Boy,87,user,2014-05-11T19:50:13Z,Boy,boytom,https://soundcloud.com/boytom,https://api.soundcloud.com/users/87,soundcloud:users:87,boytom,False,Stockholm,SE,False,False,False,soundcloud:system-playlists:artist-stations:87,artist-stations:87,,,,,,,,,,
2,,,True,12.0,2008-03-31T01:08:27Z,"Take your mom out, buy her a kebab",False,0.0,179330,179330,all,,False,3849,track,,2019-03-29T05:12:51Z,all-rights-reserved,16.0,ormtjusaren-kp-morsan-en-kebab,https://soundcloud.com/boytom/ormtjusaren-kp-morsan-en-kebab,3153.0,True,,,,,1,,public,finished,True,,ORMTJUSAREN : KÖP MORSAN EN KEBAB,single-track,https://api.soundcloud.com/tracks/3849,soundcloud:tracks:3849,87,,https://wave.sndcdn.com/yeyM31CYnIOn_m.json,2008-03-31T01:08:27Z,soundcloud:system-playlists:track-stations:3849,track-stations:3849,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJnZW8iOiJWTiIsInN1YiI6IiIsInJpZCI6IjY1YTZmYTcxLTUxZWQtNGZhYS04MGRlLTNkOWJhMDQ1NzYyYSIsImlhdCI6MTY0NTc5MDI1N30.k0DApU-yjHgEygt-7Wccf8_2nROVI236rtFN_c5CGqY,NOT_APPLICABLE,ALLOW,87,"[{'url': 'https://api-v2.soundcloud.com/media/soundcloud:tracks:3849/43801ed2-4b7b-4515-ac5d-a12e7f3b172d/stream/hls', 'preset': 'mp3_0_0', 'duration': 179330, 'snipped': False, 'format': {'protocol': 'hls', 'mime_type': 'audio/mpeg'}, 'quality': 'sq'}, {'url': 'https://api-v2.soundcloud.com/media/soundcloud:tracks:3849/43801ed2-4b7b-4515-ac5d-a12e7f3b172d/stream/progressive', 'preset': 'mp3_0_0', 'duration': 179330, 'snipped': False, 'format': {'protocol': 'progressive', 'mime_type': 'audio/mpeg'}, 'quality': 'sq'}]",https://i1.sndcdn.com/avatars-000000000575-ce3d8c-large.jpg,Tom,5634,Tom Boy,87,user,2014-05-11T19:50:13Z,Boy,boytom,https://soundcloud.com/boytom,https://api.soundcloud.com/users/87,soundcloud:users:87,boytom,False,Stockholm,SE,False,False,False,soundcloud:system-playlists:artist-stations:87,artist-stations:87,,,,,,,,,,
3,,,True,6.0,2007-10-05T20:48:00Z,"A posthuman or post-human is, according to transhumanist philosophers, a hypothetical future being - whose basic capacities so radically exceed those of present humans as to be no longer unambiguously human by our current standards.",False,0.0,202135,202135,none,,False,460,track,,2019-03-29T05:12:51Z,all-rights-reserved,6.0,wong-wee-1,https://soundcloud.com/boytom/wong-wee-1,756.0,True,,,,,1,,public,finished,False,,Wong Wee,single-track,https://api.soundcloud.com/tracks/460,soundcloud:tracks:460,87,,https://wave.sndcdn.com/j2LXxHwhpis0_m.json,2007-10-05T20:48:00Z,soundcloud:system-playlists:track-stations:460,track-stations:460,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJnZW8iOiJWTiIsInN1YiI6IiIsInJpZCI6ImZhMjJlMDYyLWMzMjktNDU3YS1hNjc2LTE3ZTUzNzBjNjQ3MyIsImlhdCI6MTY0NTc5MDI1N30.4vLCRFAgYZPpk6Pr_yHcbdigWEq_-c0Vkg7zwH0rOUc,NOT_APPLICABLE,ALLOW,87,"[{'url': 'https://api-v2.soundcloud.com/media/soundcloud:tracks:460/2641708f-8dc3-4e7f-a9f2-a4fd8ce5309c/stream/hls', 'preset': 'mp3_0_0', 'duration': 202135, 'snipped': False, 'format': {'protocol': 'hls', 'mime_type': 'audio/mpeg'}, 'quality': 'sq'}, {'url': 'https://api-v2.soundcloud.com/media/soundcloud:tracks:460/2641708f-8dc3-4e7f-a9f2-a4fd8ce5309c/stream/progressive', 'preset': 'mp3_0_0', 'duration': 202135, 'snipped': False, 'format': {'protocol': 'progressive', 'mime_type': 'audio/mpeg'}, 'quality': 'sq'}]",https://i1.sndcdn.com/avatars-000000000575-ce3d8c-large.jpg,Tom,5634,Tom Boy,87,user,2014-05-11T19:50:13Z,Boy,boytom,https://soundcloud.com/boytom,https://api.soundcloud.com/users/87,soundcloud:users:87,boytom,False,Stockholm,SE,False,False,False,soundcloud:system-playlists:artist-stations:87,artist-stations:87,,,,,,,,,,
4,,,True,9.0,2007-09-14T18:48:24Z,INDIAAAAAH..........,True,100.0,146128,146128,all,,False,238,track,,2019-03-29T05:12:52Z,all-rights-reserved,31.0,jog-raga-ragu,https://soundcloud.com/boytom/jog-raga-ragu,8855.0,True,,,,,2,,public,finished,True,,Jog raga ragu,single-track,https://api.soundcloud.com/tracks/238,soundcloud:tracks:238,87,,https://wave.sndcdn.com/ukBkFYHdKL4B_m.json,2007-09-14T18:48:24Z,soundcloud:system-playlists:track-stations:238,track-stations:238,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJnZW8iOiJWTiIsInN1YiI6IiIsInJpZCI6ImQxMzg1NTNjLWIzNDUtNDU5ZC04MjZjLTY5NTY0MDgzYjZhYyIsImlhdCI6MTY0NTc5MDI1N30.e6kWcDpom0cSQB7zabab8ix7VDZZlj-YDD1WD2a1JCY,NOT_APPLICABLE,ALLOW,87,"[{'url': 'https://api-v2.soundcloud.com/media/soundcloud:tracks:238/dab2735e-f31c-4279-ae97-66169a8b8154/stream/hls', 'preset': 'mp3_0_0', 'duration': 146128, 'snipped': False, 'format': {'protocol': 'hls', 'mime_type': 'audio/mpeg'}, 'quality': 'sq'}, {'url': 'https://api-v2.soundcloud.com/media/soundcloud:tracks:238/dab2735e-f31c-4279-ae97-66169a8b8154/stream/progressive', 'preset': 'mp3_0_0', 'duration': 146128, 'snipped': False, 'format': {'protocol': 'progressive', 'mime_type': 'audio/mpeg'}, 'quality': 'sq'}]",https://i1.sndcdn.com/avatars-000000000575-ce3d8c-large.jpg,Tom,5634,Tom Boy,87,user,2014-05-11T19:50:13Z,Boy,boytom,https://soundcloud.com/boytom,https://api.soundcloud.com/users/87,soundcloud:users:87,boytom,False,Stockholm,SE,False,False,False,soundcloud:system-playlists:artist-stations:87,artist-stations:87,,,,,,,,,,
5,,,True,12.0,2007-09-13T19:17:30Z,Imagine someone fresh who have just discovered the loop function in GarageBand (which is me) and then add some of that cheesy feeling flowing down your back as you are stepping in to H&M to buy a new pair of blue jeans…,True,100.0,138085,138085,all,,False,221,track,,2019-03-29T05:12:52Z,all-rights-reserved,32.0,i-got-the-drums,https://soundcloud.com/boytom/i-got-the-drums,6641.0,True,,,,,3,,public,finished,True,,I Got The Drums,single-track,https://api.soundcloud.com/tracks/221,soundcloud:tracks:221,87,,https://wave.sndcdn.com/Yftq5XaHjEZ8_m.json,2007-09-13T19:17:30Z,soundcloud:system-playlists:track-stations:221,track-stations:221,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJnZW8iOiJWTiIsInN1YiI6IiIsInJpZCI6Ijc5Y2FiMjA0LTY5NmQtNGE0Yi04ZWI1LTQ3ODU3YzZkMTU3NiIsImlhdCI6MTY0NTc5MDI1N30.k67_GlwaDGDr-sC8GFjUKj2AjfKxp8xh6L0pqELgDCQ,NOT_APPLICABLE,ALLOW,87,"[{'url': 'https://api-v2.soundcloud.com/media/soundcloud:tracks:221/aa0b72d9-df64-4f9d-a78b-98247d443457/stream/hls', 'preset': 'mp3_0_0', 'duration': 138085, 'snipped': False, 'format': {'protocol': 'hls', 'mime_type': 'audio/mpeg'}, 'quality': 'sq'}, {'url': 'https://api-v2.soundcloud.com/media/soundcloud:tracks:221/aa0b72d9-df64-4f9d-a78b-98247d443457/stream/progressive', 'preset': 'mp3_0_0', 'duration': 138085, 'snipped': False, 'format': {'protocol': 'progressive', 'mime_type': 'audio/mpeg'}, 'quality': 'sq'}]",https://i1.sndcdn.com/avatars-000000000575-ce3d8c-large.jpg,Tom,5634,Tom Boy,87,user,2014-05-11T19:50:13Z,Boy,boytom,https://soundcloud.com/boytom,https://api.soundcloud.com/users/87,soundcloud:users:87,boytom,False,Stockholm,SE,False,False,False,soundcloud:system-playlists:artist-stations:87,artist-stations:87,,,,,,,,,,
6,,,True,8.0,2007-09-02T18:19:49Z,What can I say; it's russian...,False,0.0,90432,90432,none,,False,160,track,,2019-03-29T05:12:52Z,all-rights-reserved,11.0,den-ryska,https://soundcloud.com/boytom/den-ryska,623.0,True,,,,,2,,public,finished,False,,Den Ryska,single-track,https://api.soundcloud.com/tracks/160,soundcloud:tracks:160,87,,https://wave.sndcdn.com/iZJU5rwhtUZY_m.json,2007-09-02T18:19:49Z,soundcloud:system-playlists:track-stations:160,track-stations:160,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJnZW8iOiJWTiIsInN1YiI6IiIsInJpZCI6IjM5YzAxOTA2LThlM2EtNGY2Ny1iZDRhLTI4NTMyZjM3YWI2YyIsImlhdCI6MTY0NTc5MDI1N30.llJNlrjnfTtfd-zu_akDihR2_u4WCEUejlBOfOcpJGE,NOT_APPLICABLE,ALLOW,87,"[{'url': 'https://api-v2.soundcloud.com/media/soundcloud:tracks:160/678601fb-da5f-42d0-a555-bbe4f0858b31/stream/hls', 'preset': 'mp3_0_0', 'duration': 90432, 'snipped': False, 'format': {'protocol': 'hls', 'mime_type': 'audio/mpeg'}, 'quality': 'sq'}, {'url': 'https://api-v2.soundcloud.com/media/soundcloud:tracks:160/678601fb-da5f-42d0-a555-bbe4f0858b31/stream/progressive', 'preset': 'mp3_0_0', 'duration': 90432, 'snipped': False, 'format': {'protocol': 'progressive', 'mime_type': 'audio/mpeg'}, 'quality': 'sq'}]",https://i1.sndcdn.com/avatars-000000000575-ce3d8c-large.jpg,Tom,5634,Tom Boy,87,user,2014-05-11T19:50:13Z,Boy,boytom,https://soundcloud.com/boytom,https://api.soundcloud.com/users/87,soundcloud:users:87,boytom,False,Stockholm,SE,False,False,False,soundcloud:system-playlists:artist-stations:87,artist-stations:87,,,,,,,,,,
7,https://i1.sndcdn.com/artworks-pBD8bxURnE5vxIsm-FWyJrA-large.jpg,Rhythm is actually an energy pump through time! X :),True,9.0,2022-02-14T11:11:27Z,"CRSZPL - Mistral
Chris Zippel - Ombra
Bahramji & Chris Zippel - Sands
Chris Zippel & Tim Angrave - Radiance
Chris Zippel - Hyperion Rising
Chris Zippel - Noosphere
CRSZPL - Hiraeth
CRSZPL - Petrichor",False,0.0,2584660,2584660,all,Deep - Techno,False,1215551503,track,,2022-02-23T11:03:13Z,all-rights-reserved,28.0,protonradioartistmix,https://soundcloud.com/crszpl/protonradioartistmix,1064.0,True,,Listen Here,http://li.sten.to/chriszippel,,8,,public,finished,True,"""melodic house & techno"" ""organic house"" ""yoga techno"" ""tim angrave"" bahramji ielo ""meanwhile records"" ""gena wernik"" proton ""allisum records"" kayoon",Allisum Wonderland - PROTON RADIO MIX -,single-track,https://api.soundcloud.com/tracks/1215551503,soundcloud:tracks:1215551503,88,,https://wave.sndcdn.com/2QtFEOXIZROO_m.json,2022-02-14T17:42:50Z,soundcloud:system-playlists:track-stations:1215551503,track-stations:1215551503,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJnZW8iOiJWTiIsInN1YiI6IiIsInJpZCI6Ijk4NjJlZDNjLTk2YWEtNDAyNS1iZjNkLTk3ZTE0ZWI1MWZjNiIsImlhdCI6MTY0NTc5MDI1OX0.n-an7LodYfPdX57BFoiSuls4jo_UepD2KpBNX-uIjZw,NOT_APPLICABLE,ALLOW,88,"[{'url': 'https://api-v2.soundcloud.com/media/soundcloud:tracks:1215551503/2267c4d8-4cf1-4d23-af7a-e93a9c8eada0/stream/hls', 'preset': 'mp3_0_1', 'duration': 2584660, 'snipped': False, 'format': {'protocol': 'hls', 'mime_type': 'audio/mpeg'}, 'quality': 'sq'}, {'url': 'https://api-v2.soundcloud.com/media/soundcloud:tracks:1215551503/2267c4d8-4cf1-4d23-af7a-e93a9c8eada0/stream/progressive', 'preset': 'mp3_0_1', 'duration': 2584660, 'snipped': False, 'format': {'protocol': 'progressive', 'mime_type': 'audio/mpeg'}, 'quality': 'sq'}, {'url': 'https://api-v2.soundcloud.com/media/soundcloud:tracks:1215551503/e213b6d2-ec18-403d-81de-1dca799c8ecf/stream/hls', 'preset': 'opus_0_0', 'duration': 2584632, 'snipped': False, 'format': {'protocol': 'hls', 'mime_type': 'audio/ogg; codecs=""opus""'}, 'quality': 'sq'}]",https://i1.sndcdn.com/avatars-HXY6CUhiPzXI3dCr-0rI5Ww-large.jpg,CRSZPL,12761,CRSZPL,88,user,2022-02-16T16:14:02Z,,crszpl,https://soundcloud.com/crszpl,https://api.soundcloud.com/users/88,soundcloud:users:88,Chris Zippel,True,New EP Out Now,,False,True,True,soundcloud:system-playlists:artist-stations:88,artist-stations:88,1215551503.0,soundcloud:tracks:1215551503,Chris Zippel,True,QM8DG2208776,,,,,
8,https://i1.sndcdn.com/artworks-JsgSEOOWybzxOP8t-nIbXRg-large.jpg,Shut the front door ❤️❤️❤️🚀🚀🚀 this is fucking amazing 👌 :),True,20.0,2021-12-15T10:22:41Z,"The trance flavoured 120 bpm 'Original Mix' features a huge break with arpeggiated chords and lush synth textures.

The 118 bpm 'Sunset Mix' is a downbeat reworking of the original, and pays tribute to the famous Sunset DJ and compiler at Café del Mar Jose Padilla. 
{Listen here: https://li.sten.to/radiance-linktree}

Both artists have worked with him in Ibiza, he was a huge inspiration to many.

""Radiance is the radiant flux emitted, reflected, transmitted or received by a given surface.""

As Science fiction fans there was always a fascination with vivid lights of the night sky. These artefacts, monoliths and the possibility of otherworldly places and intelligence in the unfathomable vastness of space inspired 'Radiance'...",False,0.0,387030,387030,all,Electronic,False,1178227816,track,Allisum,2022-02-18T09:46:16Z,all-rights-reserved,31.0,radiance-album-mix-allisum-records,https://soundcloud.com/crszpl/radiance-album-mix-allisum-records,893.0,True,,{All Mixes} !,https://li.sten.to/radiance-linktree,2021-12-15T00:00:00Z,6,,public,finished,True,"""eclectic "" ""melodic house"" Techno Trance listening The Chillout Lounge Mix, Organic House, Trance, Cafe Del Mar, Melodic House &",PREMIERE: Radiance (Album Mix) - Chris Zippel & Tim Angrave,single-track,https://api.soundcloud.com/tracks/1178227816,soundcloud:tracks:1178227816,88,,https://wave.sndcdn.com/uIE7JhXIOQwl_m.json,2021-12-15T10:34:54Z,soundcloud:system-playlists:track-stations:1178227816,track-stations:1178227816,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJnZW8iOiJWTiIsInN1YiI6IiIsInJpZCI6IjVhYWE0MmU2LTZkYzktNDI5NC1hYTEyLTFiNDJjOTg5NDBhZiIsImlhdCI6MTY0NTc5MDI1OX0.x0rsvCRiVUzzHa2Ao_3ZNHOBWXEvmhjFh0LrDeRfzfE,NOT_APPLICABLE,ALLOW,88,"[{'url': 'https://api-v2.soundcloud.com/media/soundcloud:tracks:1178227816/e449a56a-c70c-4337-8c9f-bf6383e5d4e0/stream/hls', 'preset': 'mp3_0_1', 'duration': 387030, 'snipped': False, 'format': {'protocol': 'hls', 'mime_type': 'audio/mpeg'}, 'quality': 'sq'}, {'url': 'https://api-v2.soundcloud.com/media/soundcloud:tracks:1178227816/e449a56a-c70c-4337-8c9f-bf6383e5d4e0/stream/progressive', 'preset': 'mp3_0_1', 'duration': 387030, 'snipped': False, 'format': {'protocol': 'progressive', 'mime_type': 'audio/mpeg'}, 'quality': 'sq'}, {'url': 'https://api-v2.soundcloud.com/media/soundcloud:tracks:1178227816/8cb5a506-7928-45cc-a1f4-8b90925c5825/stream/hls', 'preset': 'opus_0_0', 'duration': 387007, 'snipped': False, 'format': {'protocol': 'hls', 'mime_type': 'audio/ogg; codecs=""opus""'}, 'quality': 'sq'}]",https://i1.sndcdn.com/avatars-HXY6CUhiPzXI3dCr-0rI5Ww-large.jpg,CRSZPL,12761,CRSZPL,88,user,2022-02-16T16:14:02Z,,crszpl,https://soundcloud.com/crszpl,https://api.soundcloud.com/users/88,soundcloud:users:88,Chris Zippel,True,New EP Out Now,,False,True,True,soundcloud:system-playlists:artist-stations:88,artist-stations:88,1178227816.0,soundcloud:tracks:1178227816,"Chris Zippel, Tim Angrave",True,US83Z2147371,Radiance EP,"Chris Zippel, Tim Angrave",,,
9,https://i1.sndcdn.com/artworks-6nrnPTM178PTMc5P-aH060w-large.jpg,We ´re all just walking each other home.  RAM DASS ,True,1.0,2021-11-16T14:50:20Z,"Jose Padilla (1955 - 2020)

Ich habe ihn als sensiblen, komplexen Künstler voller Gegensätze in Erinnerung und bin sehr dankbar mit Ihm zusammen ein Stück seines musikalischen Schaffensweges gegangen zu sein.

Wenn man Jose Ehren möchte macht man das am besten an seinem Lieblings Strand Aguas Blancas mit einem guten Glas Wein und spricht einem Toast auf sein großes musikalisches Vermächtnis aus.",False,0.0,3600692,3600692,all,Balearic,False,1161057067,track,,2021-11-16T15:48:07Z,all-rights-reserved,5.0,jose-padilla-cdm-2014,https://soundcloud.com/crszpl/jose-padilla-cdm-2014,185.0,True,,,,,0,,public,finished,True,"Chillout ""cafe del mar"" aguasbalncas ""Jazz Fusion"" vangelis eclectic Beach nuambient chriszippel",Jose Padilla - Cafe Del Mar 2014 IBIZA - Live Set,single-track,https://api.soundcloud.com/tracks/1161057067,soundcloud:tracks:1161057067,88,,https://wave.sndcdn.com/3UFQi8KKeRnZ_m.json,2021-11-16T15:48:07Z,soundcloud:system-playlists:track-stations:1161057067,track-stations:1161057067,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJnZW8iOiJWTiIsInN1YiI6IiIsInJpZCI6IjNjMTU2MmFlLTYwZDQtNGI3Yy1iN2I1LTgxNzkzOGY0ZTU2YiIsImlhdCI6MTY0NTc5MDI1OX0.mlJHEU8XostCRgnYYnDjey4b1gmvOcPGLyj25B5-C-8,NOT_APPLICABLE,ALLOW,88,"[{'url': 'https://api-v2.soundcloud.com/media/soundcloud:tracks:1161057067/1ff876ce-e339-4fbf-b1e0-317bb6383bd1/stream/hls', 'preset': 'mp3_0_1', 'duration': 3600692, 'snipped': False, 'format': {'protocol': 'hls', 'mime_type': 'audio/mpeg'}, 'quality': 'sq'}, {'url': 'https://api-v2.soundcloud.com/media/soundcloud:tracks:1161057067/1ff876ce-e339-4fbf-b1e0-317bb6383bd1/stream/progressive', 'preset': 'mp3_0_1', 'duration': 3600692, 'snipped': False, 'format': {'protocol': 'progressive', 'mime_type': 'audio/mpeg'}, 'quality': 'sq'}, {'url': 'https://api-v2.soundcloud.com/media/soundcloud:tracks:1161057067/84320630-a47d-4f32-8993-b6f9f8eeeb36/stream/hls', 'preset': 'opus_0_0', 'duration': 3600673, 'snipped': False, 'format': {'protocol': 'hls', 'mime_type': 'audio/ogg; codecs=""opus""'}, 'quality': 'sq'}]",https://i1.sndcdn.com/avatars-HXY6CUhiPzXI3dCr-0rI5Ww-large.jpg,CRSZPL,12761,CRSZPL,88,user,2022-02-16T16:14:02Z,,crszpl,https://soundcloud.com/crszpl,https://api.soundcloud.com/users/88,soundcloud:users:88,Chris Zippel,True,New EP Out Now,,False,True,True,soundcloud:system-playlists:artist-stations:88,artist-stations:88,1161057067.0,soundcloud:tracks:1161057067,,True,,,,,,
