,created_at,kind,userid,playlist.artwork_url,playlist.created_at,playlist.duration,playlist.id,playlist.kind,playlist.last_modified,playlist.likes_count,playlist.managed_by_feeds,playlist.permalink,playlist.permalink_url,playlist.public,playlist.reposts_count,playlist.secret_token,playlist.sharing,playlist.title,playlist.track_count,playlist.uri,playlist.user_id,playlist.set_type,playlist.is_album,playlist.published_at,playlist.release_date,playlist.display_date,playlist.user.avatar_url,playlist.user.first_name,playlist.user.followers_count,playlist.user.full_name,playlist.user.id,playlist.user.kind,playlist.user.last_modified,playlist.user.last_name,playlist.user.permalink,playlist.user.permalink_url,playlist.user.uri,playlist.user.urn,playlist.user.username,playlist.user.verified,playlist.user.city,playlist.user.country_code,playlist.user.badges.pro,playlist.user.badges.pro_unlimited,playlist.user.badges.verified,playlist.user.station_urn,playlist.user.station_permalink
0,2013-04-14T12:59:12Z,like,732,https://i1.sndcdn.com/artworks-000045401006-qxb1aj-large.jpg,2013-04-13T11:43:02Z,1182251,4774743,playlist,2015-10-13T14:29:56Z,11,False,marvin-zeyss-further-spaces-ep,https://soundcloud.com/urbantorque/sets/marvin-zeyss-further-spaces-ep,True,1,,public,Marvin Zeyss - Further Spaces EP - Urban Torque®,3,https://api.soundcloud.com/playlists/4774743,14465,ep,True,,2012-11-05T00:00:00Z,2013-04-13T11:43:02Z,https://i1.sndcdn.com/avatars-000000585415-x2cjg0-large.jpg,Urban Torque®,7163,Urban Torque® Recordings,14465,user,2019-02-02T18:05:03Z,Recordings,urbantorque,https://soundcloud.com/urbantorque,https://api.soundcloud.com/users/14465,soundcloud:users:14465,Urban Torque®,False,London,GB,False,False,False,soundcloud:system-playlists:artist-stations:14465,artist-stations:14465
1,2012-12-24T22:20:35Z,like,732,https://i1.sndcdn.com/artworks-000036947566-ub41wq-large.jpg,2012-12-24T21:45:20Z,24445712,3090778,playlist,2012-12-25T16:32:41Z,824,False,soul-clap-records-artists,https://soundcloud.com/soulclap/sets/soul-clap-records-artists,True,110,,public,Soul Clap Records Artists,11,https://api.soundcloud.com/playlists/3090778,1853,,False,,,2012-12-24T21:45:20Z,https://i1.sndcdn.com/avatars-EYeiWyRvzKbrtJSL-8gHNDg-large.jpg,Soul,174657,Soul Clap,1853,user,2021-04-29T18:43:52Z,Clap,soulclap,https://soundcloud.com/soulclap,https://api.soundcloud.com/users/1853,soundcloud:users:1853,Soul Clap,True,Boston,US,False,True,True,soundcloud:system-playlists:artist-stations:1853,artist-stations:1853
2,2017-05-23T14:28:49Z,like,737,https://i1.sndcdn.com/artworks-000218897458-thnpd2-large.jpg,2017-04-21T14:11:28Z,612360,317215514,playlist,2017-04-21T14:29:00Z,45,False,red-rooster-ep-003,https://soundcloud.com/red-rooster-records/sets/red-rooster-ep-003,True,6,,public,Red Rooster E.P. 003,4,https://api.soundcloud.com/playlists/317215514,220886491,,False,2017-04-21T14:11:28Z,2017-05-22T00:00:00Z,2017-04-21T14:11:28Z,https://i1.sndcdn.com/avatars-000219597651-027x0c-large.jpg,,753,,220886491,user,2019-05-20T21:05:00Z,,red-rooster-records,https://soundcloud.com/red-rooster-records,https://api.soundcloud.com/users/220886491,soundcloud:users:220886491,Red Rooster Records,False,Bologna,IT,False,False,False,soundcloud:system-playlists:artist-stations:220886491,artist-stations:220886491
3,2014-07-10T15:23:57Z,like,737,https://i1.sndcdn.com/artworks-000071057311-y85bsw-large.jpg,2014-02-16T21:24:22Z,880297,23652990,playlist,2014-02-17T16:58:41Z,629,False,seven-davis-jr-p-a-r-t-y-ep,https://soundcloud.com/apronrecords/sets/seven-davis-jr-p-a-r-t-y-ep,True,81,,public,Seven Davis Jr - P.A.R.T.Y. EP (Apron09),5,https://api.soundcloud.com/playlists/23652990,18695447,ep,True,,,2014-02-16T21:24:22Z,https://i1.sndcdn.com/avatars-1MIYQQX6LlH8g2Nd-JO8kig-large.jpg,,16827,,18695447,user,2021-07-21T00:13:02Z,,apronrecords,https://soundcloud.com/apronrecords,https://api.soundcloud.com/users/18695447,soundcloud:users:18695447,Apron Records,True,,,False,True,True,soundcloud:system-playlists:artist-stations:18695447,artist-stations:18695447
4,2013-03-30T16:57:36Z,like,737,https://i1.sndcdn.com/artworks-000044249695-os3wtf-large.jpg,2013-03-30T14:09:39Z,448301,4416404,playlist,2016-10-18T13:59:22Z,47,False,puaspuas002,https://soundcloud.com/valerio-puas-puas/sets/puaspuas002,True,7,,public,Memoryman aka Uovo - Puas Puas 002,3,https://api.soundcloud.com/playlists/4416404,29323400,ep,True,,2013-03-25T00:00:00Z,2013-03-30T14:09:39Z,https://i1.sndcdn.com/avatars-000027501439-fcauaj-large.jpg,,403,,29323400,user,2014-11-29T11:00:07Z,,valerio-puas-puas,https://soundcloud.com/valerio-puas-puas,https://api.soundcloud.com/users/29323400,soundcloud:users:29323400,Puas Puas,False,Rome,IT,False,False,False,soundcloud:system-playlists:artist-stations:29323400,artist-stations:29323400
5,2019-12-06T15:35:10Z,like,742,https://i1.sndcdn.com/artworks-000636092914-tlb5bv-large.jpg,2019-11-12T16:27:28Z,180088,922392127,playlist,2019-11-21T02:35:13Z,23,False,esp097-snippets,https://soundcloud.com/esp-institute/sets/esp097-snippets,True,5,,public,[ESP097] HOSHINA ANNIVERSARY - Sagano b/w Haru Wa Akebono - 12' Vinyl/Digital Single,2,https://api.soundcloud.com/playlists/922392127,749489,single,True,2019-11-21T02:35:13Z,2019-11-28T00:00:00Z,2019-11-21T02:35:13Z,https://i1.sndcdn.com/avatars-000436240782-mukat5-large.jpg,,20153,,749489,user,2021-10-02T00:46:06Z,,esp-institute,https://soundcloud.com/esp-institute,https://api.soundcloud.com/users/749489,soundcloud:users:749489,ESP Institute,True,Los Angeles / New York City,US,False,True,True,soundcloud:system-playlists:artist-stations:749489,artist-stations:749489
6,2019-09-23T13:57:41Z,like,742,,2015-07-28T05:37:09Z,2005285,129165298,playlist,2022-01-26T11:37:33Z,5,False,introducing-thobe,https://soundcloud.com/thobeofheart/sets/introducing-thobe,True,1,,public,Introducing Thobeofheart,11,https://api.soundcloud.com/playlists/129165298,12316265,,False,,,2015-07-28T05:37:09Z,https://i1.sndcdn.com/avatars-000330608915-mh7rot-large.jpg,Thobekani,288,Thobekani Dhlamini,12316265,user,2020-05-03T22:42:28Z,Dhlamini,thobeofheart,https://soundcloud.com/thobeofheart,https://api.soundcloud.com/users/12316265,soundcloud:users:12316265,Thobeofheart,False,Kwazulu-Natal,ZA,False,False,False,soundcloud:system-playlists:artist-stations:12316265,artist-stations:12316265
7,2018-06-08T11:15:01Z,like,742,https://i1.sndcdn.com/artworks-000332250276-lk9mgw-large.jpg,2018-04-09T13:06:53Z,1361730,493772511,playlist,2018-06-15T09:47:25Z,206,False,public-possession-rare-dance-disc,https://soundcloud.com/publicpossession/sets/public-possession-rare-dance-disc,True,20,,public,[PP-DISC-01] PUBLIC POSSESSION RARE DANCE DISC (snippets),15,https://api.soundcloud.com/playlists/493772511,697424,compilation,True,2018-04-09T13:06:53Z,2018-04-27T00:00:00Z,2018-04-09T13:06:53Z,https://i1.sndcdn.com/avatars-000059618037-pijyk3-large.jpg,,20953,,697424,user,2022-02-25T12:40:01Z,,publicpossession,https://soundcloud.com/publicpossession,https://api.soundcloud.com/users/697424,soundcloud:users:697424,PUBLIC POSSESSION,True,Munich,DE,False,True,True,soundcloud:system-playlists:artist-stations:697424,artist-stations:697424
8,2018-02-27T00:02:34Z,like,742,https://i1.sndcdn.com/artworks-000290653869-rx8jgk-large.jpg,2018-01-25T08:34:00Z,480539,431699649,playlist,2018-01-25T19:31:09Z,40,False,jarau-saturn-system-ep,https://soundcloud.com/user-154414667/sets/jarau-saturn-system-ep,True,4,,public,Jarau - Saturn System EP [VISIONQUEST SPECIAL EDITION] // VINYL ONLY,4,https://api.soundcloud.com/playlists/431699649,299181433,,False,2018-01-25T08:34:00Z,2018-01-26T00:00:00Z,2018-01-25T08:34:00Z,https://i1.sndcdn.com/avatars-000323503859-az2rv1-large.jpg,,402,,299181433,user,2018-06-04T19:58:59Z,,user-154414667,https://soundcloud.com/user-154414667,https://api.soundcloud.com/users/299181433,soundcloud:users:299181433,Jarau,False,,,False,False,False,soundcloud:system-playlists:artist-stations:299181433,artist-stations:299181433
9,2018-02-26T20:56:54Z,like,742,https://i1.sndcdn.com/artworks-000297208539-zsivi5-large.jpg,2018-02-04T13:54:43Z,240138,440293557,playlist,2018-02-05T17:00:49Z,62,False,politics-of-dancing-x-djebali-x-franck-roger,https://soundcloud.com/politics-of-dancing/sets/politics-of-dancing-x-djebali-x-franck-roger,True,8,,public,Politics Of Dancing X Djebali X Franck Roger,2,https://api.soundcloud.com/playlists/440293557,28214879,,False,2018-02-04T13:54:43Z,,2018-02-04T13:54:43Z,https://i1.sndcdn.com/avatars-TJDws0hdNZz0XNzD-DYECGw-large.jpg,P.O.D Records,8850,P.O.D Records P.O.D CROSS,28214879,user,2021-11-26T10:28:03Z,P.O.D CROSS,politics-of-dancing,https://soundcloud.com/politics-of-dancing,https://api.soundcloud.com/users/28214879,soundcloud:users:28214879,Politics Of Dancing Music,False,Paris,FR,True,False,False,soundcloud:system-playlists:artist-stations:28214879,artist-stations:28214879
10,2016-09-04T21:55:36Z,like,742,https://i1.sndcdn.com/artworks-000180373220-q48wy7-large.jpg,2014-07-15T10:07:00Z,55582668,43551580,playlist,2016-09-02T20:50:17Z,53,False,odd-eat-more-beats-series-032,https://soundcloud.com/odd_mixes/sets/odd-eat-more-beats-series-032,True,12,,public,OdD - Podcasts,9,https://api.soundcloud.com/playlists/43551580,1700798,,False,,,2014-07-15T10:07:00Z,https://i1.sndcdn.com/avatars-000080469298-9t1rer-large.jpg,Danny Dixon & Damian Daley,1793,Danny Dixon & Damian Daley,1700798,user,2022-01-31T01:57:04Z,,odd_mixes,https://soundcloud.com/odd_mixes,https://api.soundcloud.com/users/1700798,soundcloud:users:1700798,OdD Mixes,False,london,,False,False,False,soundcloud:system-playlists:artist-stations:1700798,artist-stations:1700798
11,2014-12-14T11:00:24Z,like,742,https://i1.sndcdn.com/artworks-000075649053-fdansj-large.jpg,2014-04-05T12:53:50Z,898299,29393337,playlist,2014-09-22T18:18:41Z,398,False,om004-photosynthesize-ep,https://soundcloud.com/odd_music/sets/om004-photosynthesize-ep,True,30,,public,(OM004) // Photosynthesize EP // (Featuring Barac),4,https://api.soundcloud.com/playlists/29393337,2909368,ep,True,,,2014-04-05T12:53:50Z,https://i1.sndcdn.com/avatars-000703375045-fakpuk-large.jpg,Tapes of Old,4973,Tapes of Old / Urgent,2909368,user,2022-01-23T00:02:01Z,/ Urgent,odd_music,https://soundcloud.com/odd_music,https://api.soundcloud.com/users/2909368,soundcloud:users:2909368,OdD Music,False,DD+DD =D ² X ~ D²/B2B = OdD,,False,False,False,soundcloud:system-playlists:artist-stations:2909368,artist-stations:2909368
12,2014-08-30T00:33:02Z,like,742,https://i1.sndcdn.com/artworks-000063209237-a8u9cz-large.jpg,2013-11-19T23:35:18Z,689563,15048597,playlist,2013-11-19T23:35:23Z,139,False,desperate-pleasures-ep-beats,https://soundcloud.com/tornadowallace/sets/desperate-pleasures-ep-beats,True,15,,public,Desperate Pleasures EP - Beats In Space,3,https://api.soundcloud.com/playlists/15048597,900683,,False,,,2013-11-19T23:35:18Z,https://i1.sndcdn.com/avatars-HZpzMrdayh4TFD3P-u89HTQ-large.jpg,L,28779,L D,900683,user,2021-11-09T01:04:52Z,D,tornadowallace,https://soundcloud.com/tornadowallace,https://api.soundcloud.com/users/900683,soundcloud:users:900683,Tornado Wallace,False,Berlin,DE,False,True,False,soundcloud:system-playlists:artist-stations:900683,artist-stations:900683
