created_at,kind,userid,playlist.artwork_url,playlist.created_at,playlist.duration,playlist.id,playlist.kind,playlist.last_modified,playlist.likes_count,playlist.managed_by_feeds,playlist.permalink,playlist.permalink_url,playlist.public,playlist.reposts_count,playlist.secret_token,playlist.sharing,playlist.title,playlist.track_count,playlist.uri,playlist.user_id,playlist.set_type,playlist.is_album,playlist.published_at,playlist.release_date,playlist.display_date,playlist.user.avatar_url,playlist.user.first_name,playlist.user.followers_count,playlist.user.full_name,playlist.user.id,playlist.user.kind,playlist.user.last_modified,playlist.user.last_name,playlist.user.permalink,playlist.user.permalink_url,playlist.user.uri,playlist.user.urn,playlist.user.username,playlist.user.verified,playlist.user.city,playlist.user.country_code,playlist.user.badges.pro,playlist.user.badges.pro_unlimited,playlist.user.badges.verified,playlist.user.station_urn,playlist.user.station_permalink
2016-12-05T07:25:34Z,like,867,,2016-04-05T05:31:52Z,76337691,212773010,playlist,2019-12-01T15:42:25Z,17,False,morning-meditation,https://soundcloud.com/pascal-kummert/sets/morning-meditation,True,2,,public,Morning meditation,40,https://api.soundcloud.com/playlists/212773010,22083377,,False,2016-08-09T19:25:00Z,,2016-08-09T19:25:00Z,https://i1.sndcdn.com/avatars-000020444187-dwvpwa-large.jpg,Pascal,54,Pascal Kummert,22083377,user,2015-08-28T07:56:32Z,Kummert,pascal-kummert,https://soundcloud.com/pascal-kummert,https://api.soundcloud.com/users/22083377,soundcloud:users:22083377,Pascal Kummert,False,,,False,False,False,soundcloud:system-playlists:artist-stations:22083377,artist-stations:22083377
2016-09-16T21:27:43Z,like,867,https://i1.sndcdn.com/artworks-000370996860-aj1tkn-large.jpg,2015-10-12T10:54:55Z,52976318,154251104,playlist,2018-10-06T14:39:25Z,1453,False,slower-sets-for-a-smoother-and,https://soundcloud.com/crussen/sets/slower-sets-for-a-smoother-and,True,183,,public,Slower Sets For A Smoother And Slightly More Thoughtful Style of Dancing,10,https://api.soundcloud.com/playlists/154251104,437038,,False,,,2015-10-12T10:54:55Z,https://i1.sndcdn.com/avatars-pzJXKTNQGx2DKD9w-fBzIOQ-large.jpg,,32678,,437038,user,2021-09-08T18:37:16Z,,crussen,https://soundcloud.com/crussen,https://api.soundcloud.com/users/437038,soundcloud:users:437038,crussen,True,"乇XPL❂RING MUSIC, ᗰIND AND NAṬURE",,False,True,True,soundcloud:system-playlists:artist-stations:437038,artist-stations:437038
2015-04-15T20:11:38Z,like,867,https://i1.sndcdn.com/artworks-000112692030-qdzjt3-large.jpg,2015-04-08T07:07:14Z,2178626,96518423,playlist,2015-10-13T15:11:09Z,852,False,orcas,https://soundcloud.com/lulacruza/sets/orcas,True,163,,public,Orcas,8,https://api.soundcloud.com/playlists/96518423,1188481,,False,,2015-04-14T00:00:00Z,2015-04-08T07:07:14Z,https://i1.sndcdn.com/avatars-000199954127-67gx4h-large.jpg,,7687,,1188481,user,2020-11-28T21:02:01Z,,lulacruza,https://soundcloud.com/lulacruza,https://api.soundcloud.com/users/1188481,soundcloud:users:1188481,lulacruza,False,Buenos Aires,AR,False,False,False,soundcloud:system-playlists:artist-stations:1188481,artist-stations:1188481
2015-01-16T17:19:59Z,like,867,https://i1.sndcdn.com/artworks-000103526080-xcasjy-large.jpg,2015-01-16T09:33:08Z,39401122,72632898,playlist,2015-01-31T09:00:36Z,1292,False,pinerolo-mixtapes,https://soundcloud.com/crussen/sets/pinerolo-mixtapes,True,158,,public,Pinerolo Mixtapes,3,https://api.soundcloud.com/playlists/72632898,437038,compilation,True,,,2015-01-16T09:33:08Z,https://i1.sndcdn.com/avatars-pzJXKTNQGx2DKD9w-fBzIOQ-large.jpg,,32678,,437038,user,2021-09-08T18:37:16Z,,crussen,https://soundcloud.com/crussen,https://api.soundcloud.com/users/437038,soundcloud:users:437038,crussen,True,"乇XPL❂RING MUSIC, ᗰIND AND NAṬURE",,False,True,True,soundcloud:system-playlists:artist-stations:437038,artist-stations:437038
2014-08-16T16:11:55Z,like,867,https://i1.sndcdn.com/artworks-000120196294-agcjwy-large.jpg,2014-04-05T21:27:04Z,8553731,29450694,playlist,2015-10-30T16:16:39Z,22,False,no-boundaries,https://soundcloud.com/qumasiquame/sets/no-boundaries,True,4,,public,No Boundaries,4,https://api.soundcloud.com/playlists/29450694,4415069,,False,,,2014-04-05T21:27:04Z,https://i1.sndcdn.com/avatars-000079204950-bb7ncd-large.jpg,ThroughMySpeakers ,340,ThroughMySpeakers,4415069,user,2019-06-23T22:35:48Z,,qumasiquame,https://soundcloud.com/qumasiquame,https://api.soundcloud.com/users/4415069,soundcloud:users:4415069,Qumasiquamé,False,Berlin,,False,True,False,soundcloud:system-playlists:artist-stations:4415069,artist-stations:4415069
2013-11-27T18:17:35Z,like,867,https://i1.sndcdn.com/artworks-000063845777-kf7rcb-large.jpg,2013-11-27T12:54:49Z,216496,15697257,playlist,2013-11-27T12:55:54Z,123,False,tough-love-nobody-neim-out-now,https://soundcloud.com/toughlovemusic/sets/tough-love-nobody-neim-out-now,True,36,,public,Tough Love - Nobody [Neim] ***OUT NOW***,1,https://api.soundcloud.com/playlists/15697257,11634635,ep,True,,,2013-11-27T12:54:49Z,https://i1.sndcdn.com/avatars-ynyXmPUdBizFFkyn-mHIkwg-large.jpg,Tough,72775,Tough Love,11634635,user,2022-01-13T21:56:11Z,Love,toughlovemusic,https://soundcloud.com/toughlovemusic,https://api.soundcloud.com/users/11634635,soundcloud:users:11634635,TOUGH LOVE,True,London,GB,False,True,True,soundcloud:system-playlists:artist-stations:11634635,artist-stations:11634635
2013-06-15T15:24:33Z,like,867,https://i1.sndcdn.com/artworks-000045253692-t15mhi-large.jpg,2013-04-11T16:52:09Z,1026156,4727014,playlist,2013-04-11T16:53:10Z,485,False,vq018-benoit-sergio-new-ships,https://soundcloud.com/benoitandsergio/sets/vq018-benoit-sergio-new-ships,True,90,,public,VQ018: Benoit & Sergio - New Ships EP,3,https://api.soundcloud.com/playlists/4727014,584525,ep,True,,,2013-04-11T16:52:09Z,https://i1.sndcdn.com/avatars-000154642035-fkakzu-large.jpg,Benoit & Sergio,45553,Benoit & Sergio FR/US,584525,user,2021-09-27T14:20:01Z,FR/US ,benoitandsergio,https://soundcloud.com/benoitandsergio,https://api.soundcloud.com/users/584525,soundcloud:users:584525,Benoit & Sergio,True,,,False,False,True,soundcloud:system-playlists:artist-stations:584525,artist-stations:584525
2013-02-08T19:11:27Z,like,867,https://i1.sndcdn.com/artworks-000034121840-hsn2k3-large.jpg,2012-11-13T18:10:31Z,867998,2748978,playlist,2012-12-10T22:16:06Z,149,False,sing-with-your-feet,https://soundcloud.com/theothertribe/sets/sing-with-your-feet,True,31,,public,SING WITH YOUR FEET,0,https://api.soundcloud.com/playlists/2748978,1000905,ep,True,,,2012-11-13T18:10:31Z,https://i1.sndcdn.com/avatars-000094970426-zatd6f-large.jpg,The Other,5524,The Other Tribe,1000905,user,2015-08-07T11:52:12Z,Tribe,theothertribe,https://soundcloud.com/theothertribe,https://api.soundcloud.com/users/1000905,soundcloud:users:1000905,The Other Tribe,False,Bristol,GB,False,False,False,soundcloud:system-playlists:artist-stations:1000905,artist-stations:1000905
2013-01-24T23:34:43Z,like,867,https://i1.sndcdn.com/artworks-000039069601-r0gaf7-large.jpg,2013-01-24T15:34:53Z,10934873,3435926,playlist,2013-01-24T15:42:21Z,1074,False,the-best-of-free-music-monday,https://soundcloud.com/annie-mac-presents/sets/the-best-of-free-music-monday,True,237,,public,The Best of Free Music Monday,32,https://api.soundcloud.com/playlists/3435926,349011,,False,,,2013-01-24T15:34:53Z,https://i1.sndcdn.com/avatars-000699631756-tazxlh-large.jpg,,282810,,349011,user,2020-11-18T17:48:54Z,,annie-mac-presents,https://soundcloud.com/annie-mac-presents,https://api.soundcloud.com/users/349011,soundcloud:users:349011,Annie Mac Presents,True,London,,False,True,True,soundcloud:system-playlists:artist-stations:349011,artist-stations:349011
2022-02-12T08:12:39Z,like,270,https://i1.sndcdn.com/artworks-2GfqVzVBd8KDcM5U-rOWVfA-large.jpg,2022-02-10T14:08:10Z,1733748,1393356850,playlist,2022-02-12T16:30:58Z,3,False,jolly-zwanziger,https://soundcloud.com/effetrose/sets/jolly-zwanziger,True,1,,public,Jolly Zwanziger,7,https://api.soundcloud.com/playlists/1393356850,27155263,ep,True,2022-02-10T14:08:10Z,2022-02-11T00:00:00Z,2022-02-10T14:08:10Z,https://i1.sndcdn.com/avatars-000403051608-pla318-large.jpg,effet,106,effet rose,27155263,user,2022-02-09T23:12:37Z,rose,effetrose,https://soundcloud.com/effetrose,https://api.soundcloud.com/users/27155263,soundcloud:users:27155263,E:R,False,Stockholm,SE,False,True,False,soundcloud:system-playlists:artist-stations:27155263,artist-stations:27155263
